"id","note","only","except","question_id","question_option_type","question_option_id","initiative_id","sdg_id","order","indicator_id","weight","children_action","comment_required","attachment_required","allow_submit","created_at","updated_at","deleted_at"
84,,,,30,"App\Models\Tenant\QuestionOptions\Simple",3,32,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
85,,,,31,"App\Models\Tenant\QuestionOptions\Simple",2,,8,1,,"10.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
86,,,,31,"App\Models\Tenant\QuestionOptions\Simple",3,32,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
87,,,,32,"App\Models\Tenant\QuestionOptions\Simple",2,,,1,,"0.00","enable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
88,,,,32,"App\Models\Tenant\QuestionOptions\Simple",3,,,2,,"0.00","disable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
89,,,,33,"App\Models\Tenant\QuestionOptions\Simple",1,,,1,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
90,,,,34,"App\Models\Tenant\QuestionOptions\Simple",2,,5,1,,"10.00","enable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
91,,,,34,"App\Models\Tenant\QuestionOptions\Simple",3,17,,2,,"0.00","disable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
92,,,,35,"App\Models\Tenant\QuestionOptions\Simple",96,,,1,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
93,,,,35,"App\Models\Tenant\QuestionOptions\Simple",97,,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
94,,,,35,"App\Models\Tenant\QuestionOptions\Simple",98,,,3,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
95,,,,35,"App\Models\Tenant\QuestionOptions\Simple",99,,,4,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
96,,,,36,"App\Models\Tenant\QuestionOptions\Simple",2,,8,1,,"2.50","enable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
97,,,,36,"App\Models\Tenant\QuestionOptions\Simple",3,18,,2,,"0.00","disable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
98,,,,37,"App\Models\Tenant\QuestionOptions\Simple",2,,16,1,,"2.50",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
99,,,,37,"App\Models\Tenant\QuestionOptions\Simple",3,18,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
100,,,,38,"App\Models\Tenant\QuestionOptions\Simple",2,,,1,,"2.50",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
101,,,,38,"App\Models\Tenant\QuestionOptions\Simple",3,18,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
102,,,,39,"App\Models\Tenant\QuestionOptions\Simple",81,,,1,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
103,,,,39,"App\Models\Tenant\QuestionOptions\Simple",82,,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
104,,,,39,"App\Models\Tenant\QuestionOptions\Simple",83,,,3,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
105,,,,39,"App\Models\Tenant\QuestionOptions\Simple",8,,,4,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
106,,,,40,"App\Models\Tenant\QuestionOptions\Simple",2,,,1,,"2.50","enable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
107,,,,40,"App\Models\Tenant\QuestionOptions\Simple",3,18,,2,,"0.00","disable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
108,,,,41,"App\Models\Tenant\QuestionOptions\Simple",100,,,1,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
109,,,,41,"App\Models\Tenant\QuestionOptions\Simple",101,,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
110,,,,41,"App\Models\Tenant\QuestionOptions\Simple",102,,,3,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
111,,,,41,"App\Models\Tenant\QuestionOptions\Simple",8,,,4,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
112,,,,42,"App\Models\Tenant\QuestionOptions\Simple",2,,,1,,"0.00","enable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
113,,,,42,"App\Models\Tenant\QuestionOptions\Simple",3,,,2,,"0.00","disable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
114,,,,43,"App\Models\Tenant\QuestionOptions\Simple",2,,,1,,"5.00","enable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
115,,,,43,"App\Models\Tenant\QuestionOptions\Simple",3,18,,2,,"0.00","disable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
116,,,,44,"App\Models\Tenant\QuestionOptions\Simple",2,,,1,,"5.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
117,,,,44,"App\Models\Tenant\QuestionOptions\Simple",3,18,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
118,,,,45,"App\Models\Tenant\QuestionOptions\Simple",2,,8,1,,"100.00","enable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
119,,,,45,"App\Models\Tenant\QuestionOptions\Simple",3,4,,2,,"0.00","disable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
120,,,,46,"App\Models\Tenant\QuestionOptions\Simple",2,,,1,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
121,,,,46,"App\Models\Tenant\QuestionOptions\Simple",3,,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
122,,,,47,"App\Models\Tenant\QuestionOptions\Simple",2,,17,1,,"100.00","enable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
123,,,,47,"App\Models\Tenant\QuestionOptions\Simple",3,32,,2,,"0.00","disable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
124,,,,48,"App\Models\Tenant\QuestionOptions\Simple",1,,,1,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
125,,,,49,"App\Models\Tenant\QuestionOptions\Simple",2,,8,1,,"50.00","enable",0,1,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
126,,,,49,"App\Models\Tenant\QuestionOptions\Simple",3,32,,2,,"0.00","disable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
127,,,,50,"App\Models\Tenant\QuestionOptions\Simple",2,,8,1,,"50.00",,0,1,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
128,,,,50,"App\Models\Tenant\QuestionOptions\Simple",3,47,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
129,,,,52,"App\Models\Tenant\QuestionOptions\Simple",171,,,1,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
130,,,,52,"App\Models\Tenant\QuestionOptions\Simple",172,,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
131,,,,52,"App\Models\Tenant\QuestionOptions\Simple",173,,,3,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
132,,,,52,"App\Models\Tenant\QuestionOptions\Simple",174,,,4,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
133,,,,52,"App\Models\Tenant\QuestionOptions\Simple",175,,,5,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
134,,,,52,"App\Models\Tenant\QuestionOptions\Simple",176,,,6,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
135,,,,52,"App\Models\Tenant\QuestionOptions\Simple",23,,,7,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
136,,,,52,"App\Models\Tenant\QuestionOptions\Simple",178,,,8,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
137,,,,52,"App\Models\Tenant\QuestionOptions\Simple",179,,,9,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
138,,,,52,"App\Models\Tenant\QuestionOptions\Simple",180,,,10,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
